timestamp_ms,time_ms,latitude,longitude,altitude,timeinfo
0,2026-02-11 10:41:00.000,51.4859626,-0.4013368,74.723,2026-02-11 02:40:56
41,2026-02-11 10:41:00.041,51.4859626,-0.4013368,74.723,2026-02-11 02:40:56
83,2026-02-11 10:41:00.083,51.4859626,-0.4013368,74.723,2026-02-11 02:40:56
125,2026-02-11 10:41:00.125,51.4859623,-0.4013396,74.723,2026-02-11 02:40:56
166,2026-02-11 10:41:00.166,51.4859623,-0.4013396,74.723,2026-02-11 02:40:56
208,2026-02-11 10:41:00.208,51.4859618,-0.4013418000000001,74.754,2026-02-11 02:40:56
250,2026-02-11 10:41:00.250,51.4859618,-0.4013418000000001,74.754,2026-02-11 02:40:56
291,2026-02-11 10:41:00.291,51.4859618,-0.4013418000000001,74.754,2026-02-11 02:40:56
333,2026-02-11 10:41:00.333,51.4859611,-0.4013435000000001,74.794,2026-02-11 02:40:56
375,2026-02-11 10:41:00.375,51.4859611,-0.4013435000000001,74.794,2026-02-11 02:40:56
417,2026-02-11 10:41:00.417,51.4859604,-0.4013447,74.839,2026-02-11 02:40:57
458,2026-02-11 10:41:00.458,51.4859604,-0.4013447,74.839,2026-02-11 02:40:57
500,2026-02-11 10:41:00.500,51.4859604,-0.4013447,74.839,2026-02-11 02:40:57
542,2026-02-11 10:41:00.542,51.4859595,-0.4013466,74.859,2026-02-11 02:40:57
583,2026-02-11 10:41:00.583,51.4859595,-0.4013466,74.859,2026-02-11 02:40:57
625,2026-02-11 10:41:00.625,51.4859588,-0.4013487,74.866,2026-02-11 02:40:57
667,2026-02-11 10:41:00.667,51.4859588,-0.4013487,74.866,2026-02-11 02:40:57
709,2026-02-11 10:41:00.709,51.4859581,-0.4013508,74.891,2026-02-11 02:40:57
750,2026-02-11 10:41:00.750,51.4859581,-0.4013508,74.891,2026-02-11 02:40:57
792,2026-02-11 10:41:00.792,51.485957400000004,-0.4013526,74.909,2026-02-11 02:40:57
834,2026-02-11 10:41:00.834,51.485957400000004,-0.4013526,74.909,2026-02-11 02:40:57
875,2026-02-11 10:41:00.875,51.485957000000006,-0.4013541,74.939,2026-02-11 02:40:57
917,2026-02-11 10:41:00.917,51.485957000000006,-0.4013541,74.939,2026-02-11 02:40:57
959,2026-02-11 10:41:00.959,51.485957000000006,-0.4013541,74.939,2026-02-11 02:40:57
1001,2026-02-11 10:41:01.001,51.4859565,-0.4013555,74.964,2026-02-11 02:40:57
1042,2026-02-11 10:41:01.042,51.4859565,-0.4013555,74.964,2026-02-11 02:40:57
1084,2026-02-11 10:41:01.084,51.485956200000004,-0.4013577,74.998,2026-02-11 02:40:57
1126,2026-02-11 10:41:01.126,51.485956200000004,-0.4013577,74.998,2026-02-11 02:40:57
1167,2026-02-11 10:41:01.167,51.485956200000004,-0.4013577,74.998,2026-02-11 02:40:57
1209,2026-02-11 10:41:01.209,51.4859557,-0.4013602,75.03,2026-02-11 02:40:57
1251,2026-02-11 10:41:01.251,51.4859557,-0.4013602,75.03,2026-02-11 02:40:57
1292,2026-02-11 10:41:01.292,51.4859557,-0.4013602,75.03,2026-02-11 02:40:57
1334,2026-02-11 10:41:01.334,51.485955000000004,-0.401362,75.028,2026-02-11 02:40:57
1376,2026-02-11 10:41:01.376,51.485955000000004,-0.401362,75.028,2026-02-11 02:40:57
1418,2026-02-11 10:41:01.418,51.4859541,-0.4013625,74.928,2026-02-11 02:40:58
1459,2026-02-11 10:41:01.459,51.4859541,-0.4013625,74.928,2026-02-11 02:40:58
1501,2026-02-11 10:41:01.501,51.48595340000001,-0.4013628,74.852,2026-02-11 02:40:58
1543,2026-02-11 10:41:01.543,51.48595340000001,-0.4013628,74.852,2026-02-11 02:40:58
1584,2026-02-11 10:41:01.584,51.48595340000001,-0.4013628,74.852,2026-02-11 02:40:58
1626,2026-02-11 10:41:01.626,51.4859528,-0.40136350000000004,74.781,2026-02-11 02:40:58
1668,2026-02-11 10:41:01.668,51.4859528,-0.40136350000000004,74.781,2026-02-11 02:40:58
1710,2026-02-11 10:41:01.710,51.4859522,-0.4013646,74.707,2026-02-11 02:40:58
1751,2026-02-11 10:41:01.751,51.4859522,-0.4013646,74.707,2026-02-11 02:40:58
1793,2026-02-11 10:41:01.793,51.4859514,-0.4013655,74.651,2026-02-11 02:40:58
1835,2026-02-11 10:41:01.835,51.4859514,-0.4013655,74.651,2026-02-11 02:40:58
1876,2026-02-11 10:41:01.876,51.4859514,-0.4013655,74.651,2026-02-11 02:40:58
1918,2026-02-11 10:41:01.918,51.4859509,-0.4013658,74.601,2026-02-11 02:40:58
1960,2026-02-11 10:41:01.960,51.4859509,-0.4013658,74.601,2026-02-11 02:40:58
2002,2026-02-11 10:41:02.002,51.4859504,-0.4013645,74.37,2026-02-11 02:40:58
2043,2026-02-11 10:41:02.043,51.4859504,-0.4013645,74.37,2026-02-11 02:40:58
